型態別,縣市鄉鎮,診療科別,西醫生,中醫師,牙醫師,藥師,藥劑生,護理師,護士,助產士,助產師,醫事檢驗師,醫事檢驗生,物理治療師,職能治療師,醫事放射師,醫事放射士,物理治療生,呼吸治療師,職能治療生,諮商心理師,臨床心理師,營養師,語言治療師,牙體技術師,聽力師,牙體技術生
中醫一般診所,臺東縣台東市,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中醫一般診所,臺東縣台東市,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中醫一般診所,臺東縣台東市,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中醫診所,臺東縣台東市,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中醫診所,臺東縣台東市,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中醫一般診所,臺東縣成功鎮,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中醫一般診所,臺東縣池上鄉,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中醫一般診所,金門縣金城鎮,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中醫一般診所,金門縣金城鎮,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西醫診所,臺北市大安區,"家庭醫學科,內科,",3,0,0,0,0,8,2,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0
牙醫診所,臺北市文山區,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
牙醫診所,臺北市文山區,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中醫診所,高雄市三民區,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西醫診所,高雄市前金區,0,2,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
牙醫診所,新北市新店區,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中醫一般診所,屏東縣麟洛鄉,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中醫一般診所,屏東縣里港鄉,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中醫一般診所,屏東縣鹽埔鄉,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中醫一般診所,屏東縣內埔鄉,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中醫診所,屏東縣內埔鄉,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中醫一般診所,屏東縣枋寮鄉,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中醫一般診所,屏東縣枋寮鄉,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中醫一般診所,屏東縣南州鄉,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中醫診所,屏東縣佳冬鄉,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
