年,週,就診類別,年齡別,縣市,類流感健保就診人次,健保就診總人次
2014,1,住院,零到四,台中市,41,187
2014,1,住院,零到四,台北市,42,277
2014,1,住院,零到四,台東縣,8,17
2014,1,住院,零到四,台南市,13,41
2014,1,住院,零到四,宜蘭縣,23,88
2014,1,住院,零到四,花蓮縣,2,27
2014,1,住院,零到四,金門縣,0,2
2014,1,住院,零到四,南投縣,13,36
2014,1,住院,零到四,屏東縣,4,19
2014,1,住院,零到四,苗栗縣,0,5
2014,1,住院,零到四,桃園市,20,195
2014,1,住院,零到四,高雄市,28,160
2014,1,住院,零到四,基隆市,9,25
2014,1,住院,零到四,雲林縣,4,16
2014,1,住院,零到四,新北市,25,119
2014,1,住院,零到四,新竹市,22,63
2014,1,住院,零到四,新竹縣,3,20
2014,1,住院,零到四,嘉義市,0,18
2014,1,住院,零到四,嘉義縣,4,35
2014,1,住院,零到四,彰化縣,35,153
2014,1,住院,十五到二十四,台中市,8,224
2014,1,住院,十五到二十四,台北市,11,274
2014,1,住院,十五到二十四,台東縣,1,14
2014,1,住院,十五到二十四,台南市,1,53
2014,1,住院,十五到二十四,宜蘭縣,13,71
2014,1,住院,十五到二十四,花蓮縣,2,20
2014,1,住院,十五到二十四,金門縣,1,4
2014,1,住院,十五到二十四,南投縣,3,18
2014,1,住院,十五到二十四,屏東縣,2,43
2014,1,住院,十五到二十四,苗栗縣,0,9
2014,1,住院,十五到二十四,桃園市,11,183
2014,1,住院,十五到二十四,高雄市,5,193
2014,1,住院,十五到二十四,基隆市,2,19
2014,1,住院,十五到二十四,連江縣,1,1
2014,1,住院,十五到二十四,雲林縣,0,28
2014,1,住院,十五到二十四,新北市,13,163
2014,1,住院,十五到二十四,新竹市,3,33
2014,1,住院,十五到二十四,新竹縣,0,19
2014,1,住院,十五到二十四,嘉義市,1,20
2014,1,住院,十五到二十四,嘉義縣,0,29
2014,1,住院,十五到二十四,彰化縣,6,96
2014,1,住院,十五到二十四,澎湖縣,0,4
2014,1,住院,二十五到六十四,台中市,54,2124
2014,1,住院,二十五到六十四,台北市,104,4509
2014,1,住院,二十五到六十四,台東縣,10,171
2014,1,住院,二十五到六十四,台南市,26,1070
2014,1,住院,二十五到六十四,宜蘭縣,29,536
2014,1,住院,二十五到六十四,花蓮縣,6,399
2014,1,住院,二十五到六十四,金門縣,1,32
2014,1,住院,二十五到六十四,南投縣,4,170
2014,1,住院,二十五到六十四,屏東縣,8,329
2014,1,住院,二十五到六十四,苗栗縣,3,181
2014,1,住院,二十五到六十四,桃園市,70,2113
2014,1,住院,二十五到六十四,高雄市,51,2576
2014,1,住院,二十五到六十四,基隆市,13,281
2014,1,住院,二十五到六十四,連江縣,1,2
2014,1,住院,二十五到六十四,雲林縣,26,570
2014,1,住院,二十五到六十四,新北市,72,2057
2014,1,住院,二十五到六十四,新竹市,13,512
2014,1,住院,二十五到六十四,新竹縣,3,161
2014,1,住院,二十五到六十四,嘉義市,2,244
2014,1,住院,二十五到六十四,嘉義縣,7,448
2014,1,住院,二十五到六十四,彰化縣,45,1069
2014,1,住院,二十五到六十四,澎湖縣,0,14
2014,1,住院,五到十四,台中市,37,162
2014,1,住院,五到十四,台北市,44,251
2014,1,住院,五到十四,台東縣,4,11
2014,1,住院,五到十四,台南市,6,32
2014,1,住院,五到十四,宜蘭縣,35,101
2014,1,住院,五到十四,花蓮縣,5,22
2014,1,住院,五到十四,金門縣,1,2
2014,1,住院,五到十四,南投縣,6,24
2014,1,住院,五到十四,屏東縣,7,19
2014,1,住院,五到十四,苗栗縣,1,4
2014,1,住院,五到十四,桃園市,41,178
2014,1,住院,五到十四,高雄市,27,133
2014,1,住院,五到十四,基隆市,10,30
2014,1,住院,五到十四,雲林縣,1,21
2014,1,住院,五到十四,新北市,38,102
2014,1,住院,五到十四,新竹市,11,35
2014,1,住院,五到十四,新竹縣,6,9
2014,1,住院,五到十四,嘉義市,3,12
2014,1,住院,五到十四,嘉義縣,3,27
2014,1,住院,五到十四,彰化縣,32,114
2014,1,住院,六十五以上,台中市,144,1262
2014,1,住院,六十五以上,台北市,252,2963
2014,1,住院,六十五以上,台東縣,15,134
2014,1,住院,六十五以上,台南市,44,649
2014,1,住院,六十五以上,宜蘭縣,38,389
2014,1,住院,六十五以上,花蓮縣,29,271
2014,1,住院,六十五以上,金門縣,1,23
2014,1,住院,六十五以上,南投縣,44,194
2014,1,住院,六十五以上,屏東縣,19,228
2014,1,住院,六十五以上,苗栗縣,12,194
2014,1,住院,六十五以上,桃園市,121,1224
2014,1,住院,六十五以上,高雄市,96,1457
2014,1,住院,六十五以上,基隆市,32,286
2014,1,住院,六十五以上,雲林縣,99,523
2014,1,住院,六十五以上,新北市,217,1451
2014,1,住院,六十五以上,新竹市,51,345
2014,1,住院,六十五以上,新竹縣,17,120
2014,1,住院,六十五以上,嘉義市,6,126
2014,1,住院,六十五以上,嘉義縣,36,526
2014,1,住院,六十五以上,彰化縣,127,849
2014,1,住院,六十五以上,澎湖縣,1,7
2014,1,門診,零到四,台中市,1880,46990
2014,1,門診,零到四,台北市,687,28390
2014,1,門診,零到四,台東縣,73,1826
2014,1,門診,零到四,台南市,1200,28174
2014,1,門診,零到四,宜蘭縣,152,5609
2014,1,門診,零到四,花蓮縣,143,4244
2014,1,門診,零到四,金門縣,8,1172
2014,1,門診,零到四,南投縣,202,7640
2014,1,門診,零到四,屏東縣,368,10608
2014,1,門診,零到四,苗栗縣,166,7091
2014,1,門診,零到四,桃園市,805,31657
2014,1,門診,零到四,高雄市,1087,38013
2014,1,門診,零到四,基隆市,81,4237
2014,1,門診,零到四,連江縣,0,33
2014,1,門診,零到四,雲林縣,311,9865
2014,1,門診,零到四,新北市,1311,59471
2014,1,門診,零到四,新竹市,275,9681
2014,1,門診,零到四,新竹縣,214,7962
2014,1,門診,零到四,嘉義市,51,6275
2014,1,門診,零到四,嘉義縣,88,3469
2014,1,門診,零到四,彰化縣,579,20321
2014,1,門診,零到四,澎湖縣,6,1048
2014,1,門診,十五到二十四,台中市,1447,57949
2014,1,門診,十五到二十四,台北市,710,45198
2014,1,門診,十五到二十四,台東縣,25,2163
2014,1,門診,十五到二十四,台南市,861,34996
2014,1,門診,十五到二十四,宜蘭縣,224,6408
2014,1,門診,十五到二十四,花蓮縣,68,5171
2014,1,門診,十五到二十四,金門縣,4,1499
2014,1,門診,十五到二十四,南投縣,199,7612
2014,1,門診,十五到二十四,屏東縣,329,12403
2014,1,門診,十五到二十四,苗栗縣,96,7530
2014,1,門診,十五到二十四,桃園市,723,36537
2014,1,門診,十五到二十四,高雄市,997,51237
2014,1,門診,十五到二十四,基隆市,131,6353
2014,1,門診,十五到二十四,連江縣,2,199
2014,1,門診,十五到二十四,雲林縣,210,10431
2014,1,門診,十五到二十四,新北市,1155,69837
2014,1,門診,十五到二十四,新竹市,160,8799
2014,1,門診,十五到二十四,新竹縣,113,6549
2014,1,門診,十五到二十四,嘉義市,113,7314
2014,1,門診,十五到二十四,嘉義縣,120,5454
2014,1,門診,十五到二十四,彰化縣,503,20076
2014,1,門診,十五到二十四,澎湖縣,18,1862
2014,1,門診,二十五到六十四,台中市,5385,345092
2014,1,門診,二十五到六十四,台北市,2701,336678
2014,1,門診,二十五到六十四,台東縣,80,17867
2014,1,門診,二十五到六十四,台南市,3502,227504
2014,1,門診,二十五到六十四,宜蘭縣,745,42161
2014,1,門診,二十五到六十四,花蓮縣,336,35762
2014,1,門診,二十五到六十四,金門縣,11,8065
2014,1,門診,二十五到六十四,南投縣,408,50198
2014,1,門診,二十五到六十四,屏東縣,1358,83837
2014,1,門診,二十五到六十四,苗栗縣,368,48419
2014,1,門診,二十五到六十四,桃園市,2523,219448
2014,1,門診,二十五到六十四,高雄市,3908,345372
2014,1,門診,二十五到六十四,基隆市,469,43626
2014,1,門診,二十五到六十四,連江縣,0,569
2014,1,門診,二十五到六十四,雲林縣,970,71900
2014,1,門診,二十五到六十四,新北市,4290,432879
2014,1,門診,二十五到六十四,新竹市,761,58768
2014,1,門診,二十五到六十四,新竹縣,498,41071
2014,1,門診,二十五到六十四,嘉義市,630,52275
2014,1,門診,二十五到六十四,嘉義縣,771,37916
2014,1,門診,二十五到六十四,彰化縣,2138,132929
2014,1,門診,二十五到六十四,澎湖縣,22,13319
2014,1,門診,五到十四,台中市,3297,78965
2014,1,門診,五到十四,台北市,1355,50315
2014,1,門診,五到十四,台東縣,59,2995
2014,1,門診,五到十四,台南市,2021,48204
2014,1,門診,五到十四,宜蘭縣,475,9514
2014,1,門診,五到十四,花蓮縣,183,6709
2014,1,門診,五到十四,金門縣,6,1807
2014,1,門診,五到十四,南投縣,303,12423
2014,1,門診,五到十四,屏東縣,602,17465
2014,1,門診,五到十四,苗栗縣,284,11143
2014,1,門診,五到十四,桃園市,1255,52759
2014,1,門診,五到十四,高雄市,1962,66379
2014,1,門診,五到十四,基隆市,269,8765
2014,1,門診,五到十四,連江縣,2,92
2014,1,門診,五到十四,雲林縣,446,17391
2014,1,門診,五到十四,新北市,2458,99263
2014,1,門診,五到十四,新竹市,464,13568
2014,1,門診,五到十四,新竹縣,281,12560
2014,1,門診,五到十四,嘉義市,114,10135
2014,1,門診,五到十四,嘉義縣,186,7707
2014,1,門診,五到十四,彰化縣,1108,33280
2014,1,門診,五到十四,澎湖縣,37,2405
2014,1,門診,六十五以上,台中市,1363,119363
2014,1,門診,六十五以上,台北市,1209,155191
2014,1,門診,六十五以上,台東縣,38,10946
2014,1,門診,六十五以上,台南市,1068,98516
2014,1,門診,六十五以上,宜蘭縣,329,25165
2014,1,門診,六十五以上,花蓮縣,162,18962
2014,1,門診,六十五以上,金門縣,6,3356
2014,1,門診,六十五以上,南投縣,209,28819
2014,1,門診,六十五以上,屏東縣,508,48727
2014,1,門診,六十五以上,苗栗縣,225,26678
2014,1,門診,六十五以上,桃園市,677,73307
2014,1,門診,六十五以上,高雄市,1182,142820
2014,1,門診,六十五以上,基隆市,184,20885
2014,1,門診,六十五以上,連江縣,0,204
2014,1,門診,六十五以上,雲林縣,479,42727
2014,1,門診,六十五以上,新北市,1010,128777
2014,1,門診,六十五以上,新竹市,219,18796
2014,1,門診,六十五以上,新竹縣,129,15168
2014,1,門診,六十五以上,嘉義市,282,24279
2014,1,門診,六十五以上,嘉義縣,420,28213
2014,1,門診,六十五以上,彰化縣,882,63347
2014,1,門診,六十五以上,澎湖縣,16,7580
2014,2,住院,零到四,台中市,35,165
2014,2,住院,零到四,台北市,46,269
2014,2,住院,零到四,台東縣,3,13
2014,2,住院,零到四,台南市,12,31
2014,2,住院,零到四,宜蘭縣,22,98
2014,2,住院,零到四,花蓮縣,11,27
2014,2,住院,零到四,金門縣,0,4
2014,2,住院,零到四,南投縣,11,38
2014,2,住院,零到四,屏東縣,7,30
2014,2,住院,零到四,苗栗縣,0,3
2014,2,住院,零到四,桃園市,25,213
2014,2,住院,零到四,高雄市,26,180
2014,2,住院,零到四,基隆市,11,28
2014,2,住院,零到四,雲林縣,2,21
2014,2,住院,零到四,新北市,42,137
2014,2,住院,零到四,新竹市,20,77
2014,2,住院,零到四,新竹縣,1,15
2014,2,住院,零到四,嘉義市,2,22
2014,2,住院,零到四,嘉義縣,4,32
2014,2,住院,零到四,彰化縣,34,141
2014,2,住院,十五到二十四,台中市,16,197
2014,2,住院,十五到二十四,台北市,21,270
2014,2,住院,十五到二十四,台東縣,1,12
2014,2,住院,十五到二十四,台南市,2,70
2014,2,住院,十五到二十四,宜蘭縣,16,58
2014,2,住院,十五到二十四,花蓮縣,1,32
2014,2,住院,十五到二十四,金門縣,0,4
2014,2,住院,十五到二十四,南投縣,2,14
2014,2,住院,十五到二十四,屏東縣,1,43
2014,2,住院,十五到二十四,苗栗縣,1,16
2014,2,住院,十五到二十四,桃園市,9,209
2014,2,住院,十五到二十四,高雄市,11,243
2014,2,住院,十五到二十四,基隆市,4,22
2014,2,住院,十五到二十四,連江縣,1,1
2014,2,住院,十五到二十四,雲林縣,1,46
2014,2,住院,十五到二十四,新北市,12,161
2014,2,住院,十五到二十四,新竹市,1,45
2014,2,住院,十五到二十四,新竹縣,2,16
2014,2,住院,十五到二十四,嘉義市,2,25
2014,2,住院,十五到二十四,嘉義縣,1,27
2014,2,住院,十五到二十四,彰化縣,9,97
2014,2,住院,十五到二十四,澎湖縣,0,1
2014,2,住院,二十五到六十四,台中市,65,2509
2014,2,住院,二十五到六十四,台北市,127,4994
2014,2,住院,二十五到六十四,台東縣,6,160
2014,2,住院,二十五到六十四,台南市,26,1201
2014,2,住院,二十五到六十四,宜蘭縣,48,554
2014,2,住院,二十五到六十四,花蓮縣,13,412
2014,2,住院,二十五到六十四,金門縣,1,33
2014,2,住院,二十五到六十四,南投縣,6,210
2014,2,住院,二十五到六十四,屏東縣,6,374
2014,2,住院,二十五到六十四,苗栗縣,4,186
2014,2,住院,二十五到六十四,桃園市,52,2275
2014,2,住院,二十五到六十四,高雄市,44,2845
2014,2,住院,二十五到六十四,基隆市,11,341
2014,2,住院,二十五到六十四,連江縣,0,1
2014,2,住院,二十五到六十四,雲林縣,19,389
2014,2,住院,二十五到六十四,新北市,81,2278
2014,2,住院,二十五到六十四,新竹市,26,526
2014,2,住院,二十五到六十四,新竹縣,6,169
2014,2,住院,二十五到六十四,嘉義市,2,305
2014,2,住院,二十五到六十四,嘉義縣,12,474
2014,2,住院,二十五到六十四,彰化縣,34,1014
2014,2,住院,二十五到六十四,澎湖縣,0,7
2014,2,住院,五到十四,台中市,54,191
2014,2,住院,五到十四,台北市,59,289
2014,2,住院,五到十四,台東縣,1,9
2014,2,住院,五到十四,台南市,15,45
2014,2,住院,五到十四,宜蘭縣,49,101
2014,2,住院,五到十四,花蓮縣,9,23
2014,2,住院,五到十四,金門縣,0,4
2014,2,住院,五到十四,南投縣,12,32
2014,2,住院,五到十四,屏東縣,11,27
2014,2,住院,五到十四,苗栗縣,3,7
2014,2,住院,五到十四,桃園市,24,167
2014,2,住院,五到十四,高雄市,58,226
2014,2,住院,五到十四,基隆市,27,51
2014,2,住院,五到十四,雲林縣,2,19
2014,2,住院,五到十四,新北市,50,123
2014,2,住院,五到十四,新竹市,17,47
2014,2,住院,五到十四,新竹縣,6,17
2014,2,住院,五到十四,嘉義市,2,15
2014,2,住院,五到十四,嘉義縣,3,26
2014,2,住院,五到十四,彰化縣,43,121
2014,2,住院,六十五以上,台中市,162,1431
2014,2,住院,六十五以上,台北市,271,3131
2014,2,住院,六十五以上,台東縣,19,144
2014,2,住院,六十五以上,台南市,60,724
2014,2,住院,六十五以上,宜蘭縣,44,452
2014,2,住院,六十五以上,花蓮縣,37,338
2014,2,住院,六十五以上,金門縣,3,28
2014,2,住院,六十五以上,南投縣,26,160
2014,2,住院,六十五以上,屏東縣,13,239
2014,2,住院,六十五以上,苗栗縣,17,194
2014,2,住院,六十五以上,桃園市,140,1322
2014,2,住院,六十五以上,高雄市,94,1664
2014,2,住院,六十五以上,基隆市,27,319
2014,2,住院,六十五以上,連江縣,0,4
2014,2,住院,六十五以上,雲林縣,55,374
2014,2,住院,六十五以上,新北市,224,1486
2014,2,住院,六十五以上,新竹市,62,394
2014,2,住院,六十五以上,新竹縣,21,120
2014,2,住院,六十五以上,嘉義市,5,173
2014,2,住院,六十五以上,嘉義縣,23,470
2014,2,住院,六十五以上,彰化縣,122,881
2014,2,住院,六十五以上,澎湖縣,0,4
2014,2,門診,零到四,台中市,1784,44156
2014,2,門診,零到四,台北市,724,27150
2014,2,門診,零到四,台東縣,69,1770
2014,2,門診,零到四,台南市,1211,26522
2014,2,門診,零到四,宜蘭縣,180,5473
2014,2,門診,零到四,花蓮縣,125,3843
2014,2,門診,零到四,金門縣,16,1122
2014,2,門診,零到四,南投縣,239,7072
2014,2,門診,零到四,屏東縣,411,9792
2014,2,門診,零到四,苗栗縣,185,6598
2014,2,門診,零到四,桃園市,867,31101
2014,2,門診,零到四,高雄市,1058,35359
2014,2,門診,零到四,基隆市,82,4325
2014,2,門診,零到四,連江縣,0,37
2014,2,門診,零到四,雲林縣,294,9224
2014,2,門診,零到四,新北市,1303,56705
2014,2,門診,零到四,新竹市,322,9066
2014,2,門診,零到四,新竹縣,241,7676
2014,2,門診,零到四,嘉義市,46,5871
2014,2,門診,零到四,嘉義縣,84,3186
2014,2,門診,零到四,彰化縣,557,18764
2014,2,門診,零到四,澎湖縣,5,1003
2014,2,門診,十五到二十四,台中市,1795,61203
2014,2,門診,十五到二十四,台北市,918,48937
2014,2,門診,十五到二十四,台東縣,15,2478
2014,2,門診,十五到二十四,台南市,893,36994
2014,2,門診,十五到二十四,宜蘭縣,299,7052
2014,2,門診,十五到二十四,花蓮縣,80,5286
2014,2,門診,十五到二十四,金門縣,6,1616
2014,2,門診,十五到二十四,南投縣,215,8028
2014,2,門診,十五到二十四,屏東縣,375,13167
2014,2,門診,十五到二十四,苗栗縣,92,7775
2014,2,門診,十五到二十四,桃園市,834,38912
2014,2,門診,十五到二十四,高雄市,1069,53576
2014,2,門診,十五到二十四,基隆市,186,6943
2014,2,門診,十五到二十四,連江縣,4,205
2014,2,門診,十五到二十四,雲林縣,205,10469
2014,2,門診,十五到二十四,新北市,1512,74270
2014,2,門診,十五到二十四,新竹市,230,9579
2014,2,門診,十五到二十四,新竹縣,178,7345
2014,2,門診,十五到二十四,嘉義市,119,7915
2014,2,門診,十五到二十四,嘉義縣,119,5531
2014,2,門診,十五到二十四,彰化縣,635,21289
2014,2,門診,十五到二十四,澎湖縣,13,2098
2014,2,門診,二十五到六十四,台中市,6336,375480
2014,2,門診,二十五到六十四,台北市,3483,392122
2014,2,門診,二十五到六十四,台東縣,80,20797
2014,2,門診,二十五到六十四,台南市,4041,248757
2014,2,門診,二十五到六十四,宜蘭縣,873,46829
2014,2,門診,二十五到六十四,花蓮縣,375,39465
2014,2,門診,二十五到六十四,金門縣,23,8615
2014,2,門診,二十五到六十四,南投縣,544,53938
2014,2,門診,二十五到六十四,屏東縣,1478,89812
2014,2,門診,二十五到六十四,苗栗縣,486,51981
2014,2,門診,二十五到六十四,桃園市,3339,250935
2014,2,門診,二十五到六十四,高雄市,4654,378220
2014,2,門診,二十五到六十四,基隆市,587,48971
2014,2,門診,二十五到六十四,連江縣,2,650
2014,2,門診,二十五到六十四,雲林縣,1021,75216
2014,2,門診,二十五到六十四,新北市,5583,476778
2014,2,門診,二十五到六十四,新竹市,886,66229
2014,2,門診,二十五到六十四,新竹縣,639,45697
2014,2,門診,二十五到六十四,嘉義市,673,57632
2014,2,門診,二十五到六十四,嘉義縣,741,37087
2014,2,門診,二十五到六十四,彰化縣,2370,141278
2014,2,門診,二十五到六十四,澎湖縣,32,14701
2014,2,門診,五到十四,台中市,3640,83124
2014,2,門診,五到十四,台北市,1818,52687
