"","縣市","年","年齡別","就診人數"
"1","高雄市","2014","二十五到六十四",17865114
"2","高雄市","2014","零到四",1876661
"3","高雄市","2014","六十五以上",7759386
"4","高雄市","2014","十五到二十四",2422203
"5","高雄市","2014","五到十四",2938965
"6","高雄市","2015","二十五到六十四",17365202
"7","高雄市","2015","零到四",1841319
"8","高雄市","2015","六十五以上",7925173
"9","高雄市","2015","十五到二十四",2296149
"10","高雄市","2015","五到十四",2506876
"11","高雄市","2016","二十五到六十四",17808933
"12","高雄市","2016","零到四",1874795
"13","高雄市","2016","六十五以上",8643135
"14","高雄市","2016","十五到二十四",2338400
"15","高雄市","2016","五到十四",2512349
"16","花蓮縣","2014","二十五到六十四",1907729
"17","花蓮縣","2014","零到四",197862
"18","花蓮縣","2014","六十五以上",1042843
"19","花蓮縣","2014","十五到二十四",254771
"20","花蓮縣","2014","五到十四",289377
"21","花蓮縣","2015","二十五到六十四",1850975
"22","花蓮縣","2015","零到四",196636
"23","花蓮縣","2015","六十五以上",1053006
"24","花蓮縣","2015","十五到二十四",236534
"25","花蓮縣","2015","五到十四",254540
"26","花蓮縣","2016","二十五到六十四",1832473
"27","花蓮縣","2016","零到四",201547
"28","花蓮縣","2016","六十五以上",1058922
"29","花蓮縣","2016","十五到二十四",241472
"30","花蓮縣","2016","五到十四",251321
"31","基隆市","2014","二十五到六十四",2288379
"32","基隆市","2014","零到四",216961
"33","基隆市","2014","六十五以上",1137726
"34","基隆市","2014","十五到二十四",294751
"35","基隆市","2014","五到十四",347564
"36","基隆市","2015","二十五到六十四",2220155
"37","基隆市","2015","零到四",207906
"38","基隆市","2015","六十五以上",1147439
"39","基隆市","2015","十五到二十四",281118
"40","基隆市","2015","五到十四",298125
"41","基隆市","2016","二十五到六十四",2229223
"42","基隆市","2016","零到四",212172
"43","基隆市","2016","六十五以上",1178650
"44","基隆市","2016","十五到二十四",283065
"45","基隆市","2016","五到十四",292027
"46","嘉義市","2014","二十五到六十四",2805285
"47","嘉義市","2014","零到四",313444
"48","嘉義市","2014","六十五以上",1353426
"49","嘉義市","2014","十五到二十四",391336
"50","嘉義市","2014","五到十四",498200
"51","嘉義市","2015","二十五到六十四",2709305
"52","嘉義市","2015","零到四",299501
"53","嘉義市","2015","六十五以上",1357881
"54","嘉義市","2015","十五到二十四",374162
"55","嘉義市","2015","五到十四",429847
"56","嘉義市","2016","二十五到六十四",2721134
"57","嘉義市","2016","零到四",304739
"58","嘉義市","2016","六十五以上",1394207
"59","嘉義市","2016","十五到二十四",374138
"60","嘉義市","2016","五到十四",429204
"61","嘉義縣","2014","二十五到六十四",2015461
"62","嘉義縣","2014","零到四",183198
"63","嘉義縣","2014","六十五以上",1551338
"64","嘉義縣","2014","十五到二十四",270607
"65","嘉義縣","2014","五到十四",365656
"66","嘉義縣","2015","二十五到六十四",1968430
"67","嘉義縣","2015","零到四",172221
"68","嘉義縣","2015","六十五以上",1558476
"69","嘉義縣","2015","十五到二十四",256220
"70","嘉義縣","2015","五到十四",306817
"71","嘉義縣","2016","二十五到六十四",2000769
"72","嘉義縣","2016","零到四",177147
"73","嘉義縣","2016","六十五以上",1588111
"74","嘉義縣","2016","十五到二十四",262924
"75","嘉義縣","2016","五到十四",308381
"76","金門縣","2014","二十五到六十四",405957
"77","金門縣","2014","零到四",59041
"78","金門縣","2014","六十五以上",183619
"79","金門縣","2014","十五到二十四",71939
"80","金門縣","2014","五到十四",86494
"81","金門縣","2015","二十五到六十四",405411
"82","金門縣","2015","零到四",56041
"83","金門縣","2015","六十五以上",179970
"84","金門縣","2015","十五到二十四",66628
"85","金門縣","2015","五到十四",80015
"86","金門縣","2016","二十五到六十四",411253
"87","金門縣","2016","零到四",56711
"88","金門縣","2016","六十五以上",189333
"89","金門縣","2016","十五到二十四",66995
"90","金門縣","2016","五到十四",79433
"91","連江縣","2014","二十五到六十四",33231
"92","連江縣","2014","零到四",2331
"93","連江縣","2014","六十五以上",11373
"94","連江縣","2014","十五到二十四",8139
"95","連江縣","2014","五到十四",4302
"96","連江縣","2015","二十五到六十四",35828
"97","連江縣","2015","零到四",2755
"98","連江縣","2015","六十五以上",12243
"99","連江縣","2015","十五到二十四",9291
"100","連江縣","2015","五到十四",4243
