@relation need3_merge
@attribute 縣市 string
@attribute 平均醫護人員 string
@attribute totalhos string
@attribute 分區 string
@attribute X人口數 numeric
@attribute X土地面積 numeric
@attribute 人口密度 numeric
@data
'南投縣','7','433','中部',505163,4106,123
'嘉義市','11','409','中部',269874,60,4498
'嘉義縣','14','270','中部',515320,1904,271
'基隆市','10','293','北部',372100,133,2798
'宜蘭縣','12','330','東部',457538,2144,213
'屏東縣','10','646','南部',835792,2776,301
'彰化縣','9','1056','中部',1287146,1074,1198
'新北市','7','3235','北部',3979208,2053,1938
'新竹市','10','432','北部',437337,104,4205
'新竹縣','6','380','北部',547481,1428,383
'桃園市','11','1534','北部',2147763,1221,1759
'澎湖縣','6','90','離島',103263,127,813
'臺中市','8','3405','中部',2767239,2215,1249
'臺北市','11','3485','北部',2695704,272,9911
'臺南市','9','1896','南部',1886033,2192,860
'臺東縣','10','165','東部',220802,3515,63
'花蓮縣','13','277','東部',330911,4629,71
'苗栗縣','7','386','北部',559189,1820,307
'連江縣','11','5','離島',12595,29,434
'金門縣','6','53','離島',135114,152,889
'雲林縣','8','505','中部',694873,1291,538
'高雄市','10','2934','南部',2779371,2952,942
