"","平均醫護人員","totalhos","人口數","土地面積","人口密度","就診人數","平均就診人數","Totalhos","Averagemedic","Population","Land","Population_density","Patient","Averagepatient","Averagehospatient"
"1","7","433",505163,4106,123,5176619,10,433,7,505163,4106,123,5176619,10,11955
"2","11","409",269874,60,4498,5223422,19,409,11,269874,60,4498,5223422,19,12771
"3","14","270",515320,1904,271,4337332,8,270,14,515320,1904,271,4337332,8,16064
"4","10","293",372100,133,2798,4195137,11,293,10,372100,133,2798,4195137,11,14318
"5","12","330",457538,2144,213,4572663,10,330,12,457538,2144,213,4572663,10,13857
"6","10","646",835792,2776,301,8550039,10,646,10,835792,2776,301,8550039,10,13235
"7","9","1056",1287146,1074,1198,13810708,11,1056,9,1287146,1074,1198,13810708,11,13078
"8","7","3235",3979208,2053,1938,39629194,10,3235,7,3979208,2053,1938,39629194,10,12250
"9","10","432",437337,104,4205,5855902,13,432,10,437337,104,4205,5855902,13,13555
"10","6","380",547481,1428,383,4284812,8,380,6,547481,1428,383,4284812,8,11276
"11","11","1534",2147763,1221,1759,21554422,10,1534,11,2147763,1221,1759,21554422,10,14051
"12","6","90",103263,127,813,1434890,14,90,6,103263,127,813,1434890,14,15943
"13","8","3405",2767239,2215,1249,33193457,12,3405,8,2767239,2215,1249,33193457,12,9748
"14","11","3485",2695704,272,9911,33646725,12,3485,11,2695704,272,9911,33646725,12,9655
"15","9","1896",1886033,2192,860,21888905,12,1896,9,1886033,2192,860,21888905,12,11545
"16","10","165",220802,3515,63,1953820,9,165,10,220802,3515,63,1953820,9,11841
"17","13","277",330911,4629,71,3585735,11,277,13,330911,4629,71,3585735,11,12945
"18","7","386",559189,1820,307,5040629,9,386,7,559189,1820,307,5040629,9,13059
"19","11","5",12595,29,434,70936,6,5,11,12595,29,434,70936,6,14187
"20","6","53",135114,152,889,803725,6,53,6,135114,152,889,803725,6,15165
"21","8","505",694873,1291,538,7489756,11,505,8,694873,1291,538,7489756,11,14831
"22","10","2934",2779371,2952,942,33177612,12,2934,10,2779371,2952,942,33177612,12,11308
